url,job,jurusan,lulusan
/opportunities/1081417,SALES MOTORIS,Semuanya,SLTA
/opportunities/1073600,Insurance Specialist (SBY),Semuanya,"Diploma, Sarjana/S1"
/opportunities/1074535,Tele Officer,Semuanya,SLTA
/opportunities/1080480,Tele Officer,Semuanya,SLTA
/opportunities/1080481,Team Leader,Semuanya,Diploma
/opportunities/1080482,Direct Marketing,Semuanya,SLTA
/opportunities/1080741,Account Executive,Semuanya,Diploma
/opportunities/1082103,Web Development Staff,"Ilmu Komputer, Teknik Komputer, Teknik Informatika, Manajemen Informatika","SLTA, Diploma, Sarjana/S1"
/opportunities/1082110,Program Officer ,Semuanya,Sarjana/S1
/opportunities/1082111,Corporate and Major Middle Donor Coordinator,Semuanya,Sarjana/S1
/opportunities/1082112,Sponsorship Administration Officer,Manajemen,"Diploma, Sarjana/S1"
/opportunities/1082113,Technical Program Livelihood Coordinator,Ekonomi,Sarjana/S1
/opportunities/1082114,Economic and Livelihood Resilience Team Leader,Semuanya,Sarjana/S1
/opportunities/1082115,Grant Finance Manager,Akuntansi,Sarjana/S1
/opportunities/1082117,Marketing Executive,Lainnya,Sarjana/S1
url,job,jurusan,lulusan
/opportunities/1081417,SALES MOTORIS,Semuanya,SLTA
/opportunities/1073600,Insurance Specialist (SBY),Semuanya,"Diploma, Sarjana/S1"
/opportunities/1074535,Tele Officer,Semuanya,SLTA
/opportunities/1080480,Tele Officer,Semuanya,SLTA
/opportunities/1080481,Team Leader,Semuanya,Diploma
/opportunities/1080482,Direct Marketing,Semuanya,SLTA
/opportunities/1080741,Account Executive,Semuanya,Diploma
/opportunities/1082103,Web Development Staff,"Ilmu Komputer, Teknik Komputer, Teknik Informatika, Manajemen Informatika","SLTA, Diploma, Sarjana/S1"
/opportunities/1082110,Program Officer ,Semuanya,Sarjana/S1
/opportunities/1082111,Corporate and Major Middle Donor Coordinator,Semuanya,Sarjana/S1
/opportunities/1082112,Sponsorship Administration Officer,Manajemen,"Diploma, Sarjana/S1"
/opportunities/1082113,Technical Program Livelihood Coordinator,Ekonomi,Sarjana/S1
/opportunities/1082114,Economic and Livelihood Resilience Team Leader,Semuanya,Sarjana/S1
/opportunities/1082115,Grant Finance Manager,Akuntansi,Sarjana/S1
/opportunities/1082117,Marketing Executive,Lainnya,Sarjana/S1
url,job,jurusan,lulusan
/opportunities/1081417,SALES MOTORIS,Semuanya,SLTA
/opportunities/1073600,Insurance Specialist (SBY),Semuanya,"Diploma, Sarjana/S1"
/opportunities/1074535,Tele Officer,Semuanya,SLTA
/opportunities/1080480,Tele Officer,Semuanya,SLTA
/opportunities/1080481,Team Leader,Semuanya,Diploma
/opportunities/1080482,Direct Marketing,Semuanya,SLTA
/opportunities/1080741,Account Executive,Semuanya,Diploma
/opportunities/1082103,Web Development Staff,"Ilmu Komputer, Teknik Komputer, Teknik Informatika, Manajemen Informatika","SLTA, Diploma, Sarjana/S1"
/opportunities/1082110,Program Officer ,Semuanya,Sarjana/S1
/opportunities/1082111,Corporate and Major Middle Donor Coordinator,Semuanya,Sarjana/S1
/opportunities/1082112,Sponsorship Administration Officer,Manajemen,"Diploma, Sarjana/S1"
/opportunities/1082113,Technical Program Livelihood Coordinator,Ekonomi,Sarjana/S1
/opportunities/1082114,Economic and Livelihood Resilience Team Leader,Semuanya,Sarjana/S1
/opportunities/1082115,Grant Finance Manager,Akuntansi,Sarjana/S1
/opportunities/1082117,Marketing Executive,Lainnya,Sarjana/S1
url,job,jurusan,lulusan
/opportunities/1081417,SALES MOTORIS,Semuanya,SLTA
/opportunities/1074535,Tele Officer,Semuanya,SLTA
/opportunities/1080480,Tele Officer,Semuanya,SLTA
/opportunities/1080481,Team Leader,Semuanya,Diploma
/opportunities/1080482,Direct Marketing,Semuanya,SLTA
/opportunities/1080741,Account Executive,Semuanya,Diploma
/opportunities/1082103,Web Development Staff,"Ilmu Komputer, Teknik Komputer, Teknik Informatika, Manajemen Informatika","SLTA, Diploma, Sarjana/S1"
/opportunities/1082110,Program Officer ,Semuanya,Sarjana/S1
/opportunities/1082111,Corporate and Major Middle Donor Coordinator,Semuanya,Sarjana/S1
/opportunities/1082112,Sponsorship Administration Officer,Manajemen,"Diploma, Sarjana/S1"
/opportunities/1082113,Technical Program Livelihood Coordinator,Ekonomi,Sarjana/S1
/opportunities/1082114,Economic and Livelihood Resilience Team Leader,Semuanya,Sarjana/S1
/opportunities/1082115,Grant Finance Manager,Akuntansi,Sarjana/S1
/opportunities/1082117,Marketing Executive,Lainnya,Sarjana/S1
/opportunities/1073600,Insurance Specialist (SBY),Semuanya,"Diploma, Sarjana/S1"
/opportunities/1073444,Insurance Specialist,Semuanya,"Diploma, Sarjana/S1"
/opportunities/1084625,Baker Lampung,Pariwisata dan Perhotelan,Diploma
/opportunities/1084626,Baker Palembang,Pariwisata dan Perhotelan,Diploma
/opportunities/1084627,Staff Administrasi Penjualan,Semuanya,Diploma
/opportunities/1070633,Tele Officer,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1070634,Supervisor Tele Officer,Semuanya,"Diploma, Sarjana/S1"
/opportunities/1071124,INSURANCE SPECIALIST,Semuanya,"Diploma, Sarjana/S1"
/opportunities/1071125,EMPLOYEE BENEFITS OFFICER,Semuanya,"Diploma, Sarjana/S1"
/opportunities/1071216,Supervisor Tele Officer,Semuanya,"Diploma, Sarjana/S1"
/opportunities/1071217,Tele Officer,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1071821,Tele Officer,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1071822,Supervisor Tele Officer,Semuanya,"Diploma, Sarjana/S1"
/opportunities/1073441,Tele Officer,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073442,Supervisor Tele Officeer,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073443,Employee Bisnis Officer,Semuanya,"Diploma, Sarjana/S1"
/opportunities/1084623,Baker Medan,Pariwisata dan Perhotelan,Diploma
/opportunities/1084580,Kepala Cabang,Semuanya,Sarjana/S1
/opportunities/1084588,Sales Supervisor Jakarta,Semuanya,Diploma
/opportunities/1084591,Sales Supervisor Meda,Semuanya,Sarjana/S1
/opportunities/1084593,Sales Supervisor Padang,Semuanya,Sarjana/S1
/opportunities/1084596,Sales Supervisor Pekanbaru,Semuanya,Sarjana/S1
/opportunities/1084598,Sales Supervisor Palembang,Semuanya,Sarjana/S1
/opportunities/1084602,Salesman Jakarta,Semuanya,Diploma
/opportunities/1084605,Salesman Padang,Semuanya,Diploma
/opportunities/1084607,Salesman Makassar,Semuanya,Diploma
/opportunities/1084608,Salesman Pekanbaru,Semuanya,Diploma
/opportunities/1084610,Salesman Samarinda,Semuanya,Diploma
/opportunities/1084612,Salesman Balikpapan,Semuanya,Diploma
/opportunities/1084614,Salesman Palembang,Semuanya,Diploma
/opportunities/1084615,Salesman Batam,Semuanya,Diploma
/opportunities/1081844,Staff IT,Teknik Informatika,Sarjana/S1
/opportunities/1073532,Sales Taskforce Singkawang,Semuanya,SLTA
/opportunities/1073533,Sales Taskforce Sintang,Semuanya,SLTA
/opportunities/1073534,Sales Taskforce Bone,Semuanya,SLTA
/opportunities/1073535,Sales Taskforce Mamuju,Semuanya,SLTA
/opportunities/1073536,Sales Taskforce Morowali,Semuanya,SLTA
/opportunities/1073580,Surveyor Bekasi,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073586,DRIVER CIKARANG,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1080888,QA Manager Area Depok,"Biokimia, Ilmu Biologi, Teknik Kimia",Sarjana/S1
/opportunities/1080889,QA Manager Area Bandung,"Ilmu Biologi, Teknik Kimia",Sarjana/S1
/opportunities/1081424,Staff Warehouse Raw Material & Packaging,"Ilmu Biologi, Bioteknologi, Teknik Kimia",Diploma
/opportunities/1081425,Supervisor Warehouse and Dispatch,Semuanya,Diploma
/opportunities/1081839,Marketing Manager,Semuanya,Sarjana/S1
/opportunities/1081842,General Manager,Semuanya,Sarjana/S1
/opportunities/1081843,Supervisor IT,Teknik Informatika,Sarjana/S1
/opportunities/1073531,Sales Taskforce Tanjung,Semuanya,SLTA
/opportunities/1073124,Sales Taskforce Palu,Semuanya,SLTA
/opportunities/1073120,Field Collection Banda Aceh,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073121,Field Collection Bogor,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073122,Field Collection Bukittinggi,Semuanya,"Apa Saja, Diploma, Sarjana/S1"
/opportunities/1073123,Field Collection Cibinong,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073126, IT Active Directory Engineer,Semuanya,"Diploma, Sarjana/S1"
/opportunities/1073127,Marketing Credit Executive Bekasi,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073162,SALES TANGERANG SELATAN,Semuanya,"SLTA, Diploma"
/opportunities/1073184,Marketing Credit Executive Yogyakarta,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073185,Marketing Credit Executive Magelang,Semuanya,"SLTA, Diploma, Sarjana/S1"
