site,url,domain_of_jobs,jobs,position,experience,location,salary,qualification
jobstreet.co.id,https://www.jobstreet.co.id/en/job/sql-dba-technical-consultant-2860597?fr=J&searchRequestToken=1d73513e-4c84-4693-ae92-0bf8ece25a1e&sectionRank=1,null,SQL DBA Technical Consultant,null,"
			Min 3 years (Staff (non-management & non-supervisor)) 
		","
			Indonesia - Jakarta Raya		",,"<div class=""unselectable wrap-text"" id=""job_description""> <div style=""text-align:justify""><strong>Main Job include Key Responsibilities:</strong></div>

<div style=""text-align:justify""> </div>

<ul>
	<li style=""text-align:justify"">as DBA Consultant (SQL) doing PM/CM</li>
	<li style=""text-align:justify"">Maintain and doing healthcheck/PM  Database of customer</li>
	<li style=""text-align:justify"">Tuning Database if needed (SQL)</li>
	<li style=""text-align:justify"">Setup and Implement DR &amp; HA (Always on, Replication, Mirroring, Cluster - SQL DB) and Maintenance DB</li>
</ul>

<div>
<div style=""text-align:justify""> </div>

<div style=""text-align:justify""><strong>Job Requirements:</strong></div>

<div style=""text-align:justify""> </div>
</div>

<ul>
	<li style=""text-align:justify"">Candidate must possess at least Bachelor's Degree, Master's Degree/Post Graduate Degree in Computer Science/Information Technology or equivalent.</li>
	<li style=""text-align:justify"">Experience as DBA (SQL DB, MySQL DB, Postgree dan Sybase) minimum 2-3 years.</li>
	<li style=""text-align:justify"">Have Skill HA &amp; DR concept SQL DB (Always On, Replication, Mirroring, Cluster), etc</li>
	<li style=""text-align:justify"">Diciplined, hard work, smart work</li>
</ul> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/marketing-staff-2860571?fr=J&searchRequestToken=1d73513e-4c84-4693-ae92-0bf8ece25a1e&sectionRank=20,null,Marketing Staff,null,"
			Min 2 years (Staff (non-management & non-supervisor)) 
		","
			Indonesia - Jakarta Raya - Jakarta Barat - Mangga Besar		",,"<div class=""unselectable wrap-text"" id=""job_description""> <div>
<div><strong>Tanggung Jawab Utama :</strong></div>

<div> </div>

<ul>
	<li>Mempersiapkan penawaran-penawaran harga untuk pelanggan dan calon pelanggan.</li>
	<li>Melakukan follow up kepada customer berkaitan penawaran yang telah diberikan.</li>
	<li>Menghadiri pertemuan-pertemuan tender mewakili perusahaan.</li>
	<li>Menjaga kemitraan dan menjalin hubungan baik dengan customer dan calon customer.</li>
</ul>

<div> </div>

<div><strong>Kriteria :</strong></div>

<div> </div>

<ul>
	<li>Maksimal 35 tahun.</li>
	<li>Lulusan S1 Teknik Sipil.</li>
	<li>Pengalaman Minimal 2 Tahun. </li>
	<li>Mempunyai pengalaman dalam perusahaan pondasi tiang pancang diutamakan.</li>
	<li>Biasa menggunakan komputer, internet dan Microsoft Office.</li>
	<li>Mampu membina hubungan baik dengan customer dan calon customer. </li>
	<li>Penempatan di Jakarta Barat.</li>
</ul>
</div> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/supervisor-engineering-2860572?fr=J&searchRequestToken=1d73513e-4c84-4693-ae92-0bf8ece25a1e&sectionRank=19,null,SUPERVISOR ENGINEERING,null,"
			Min 3 years (Supervisor/Coordinator) 
		","
			Indonesia - Banten - Cikupa		",,"<div class=""unselectable wrap-text"" id=""job_description""> <div>
<div><strong>JOB DESCRIPTION</strong></div>

<ul>
	<li>Memastikan program kerja di Dept. Engineering sesuai dengan target.</li>
	<li>Mengkoordinasikan implementasi preventive maintenance.</li>
	<li>Memastikan maintenance dilakukan sesuai dengan schedule.</li>
	<li>Melakukan trouble shooting terhadap kerusakan mesin.</li>
	<li>Mengkoordinir pekerjaan teknisi.</li>
	<li>Membuat dan membantu kelancaran proses produksi.</li>
	<li>Memastikan teamnya menjalankan tugasnya masing-masing sesuai dengan SOP.</li>
	<li>Merawat peralatan kerja dan tooling yang digunakan di area kerja.</li>
	<li>Bekerja sama dengam Team Produksi / QC / Store atau department terkait untuk melakukan continuous improvement</li>
	<li>Menerapkan program kerja 5R di area kerja</li>
</ul>

<div> </div>

<div><strong>Kualifikasi:</strong></div>

<ul>
	<li>Usia min. 35 tahun</li>
	<li>Pendidikan min. S1 Teknik</li>
	<li>Mempunyai pengalaman min. 3 tahun di bidangnya.</li>
	<li>Memiliki pengetahuan yang baik untuk mengelola dan mengendalikan organisasi</li>
	<li>Pekerja keras, jujur, ulet, dan bisa memberi perubahan dalam kinerja dibagiannya ke arah yang lebih baik dan berkembang.</li>
	<li>Target oriented, bertanggungjawab, dan team player.</li>
	<li><strong>Bersedia ditempatkan di wilayah Tangerang</strong></li>
</ul>

<div> </div>
</div> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/system-and-procedure-officer-2860573?fr=J&searchRequestToken=1d73513e-4c84-4693-ae92-0bf8ece25a1e&sectionRank=18,null,System and Procedure Officer,null,"
			Min 1 year (Staff (non-management & non-supervisor)) 
		","
			Indonesia - Banten - Tangerang - BSD City		",,"<div class=""unselectable wrap-text"" id=""job_description""> <ul>
	<li>Membuat policy / regulasi dari departemen terkait</li>
	<li>Melakukan sosialisasi policy / regulasi</li>
	<li>Melakukan evaluasi atau pengkinian policy / regulasi</li>
</ul>

<div>
<div>Job Requirements:</div>
</div>

<ul>
	<li>Age max. 28 years old</li>
	<li>Min. S1 dari segala jurusan</li>
	<li>Min. 1 tahun pengalaman di bidang yang sama</li>
	<li>Memiliki pengetahuan tentang regulasi multifinance</li>
	<li>Mampu menerapkan logika ke bentuk tulisan yang tertata</li>
	<li>Mampu berbahasa inggris secara lisan maupun tulisan</li>
	<li>Mampu bekerja di dalam tim, timeline, dan tekanan</li>
	<li>Memiliki komunikasi dan inisiatif yang baik</li>
	<li>Penempatan di BSD City, Tangerang Selatan</li>
</ul> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/spv-marketing-communication-2860574?fr=J&searchRequestToken=1d73513e-4c84-4693-ae92-0bf8ece25a1e&sectionRank=17,null,Spv Marketing Communication,null,"
			Min 2 years (Supervisor/Coordinator) 
		","
			Indonesia - Jawa Tengah - Surakarta - Ronggowarsito, Banjarsari		",,"<div class=""unselectable wrap-text"" id=""job_description""> <ul>
	<li>Kandidat harus memiliki setidaknya Gelar Sarjana di bidang apapun.</li>
	<li>Bahasa yang harus dimiliki: Bahasa Indonesia</li>
	<li>Setidaknya memiliki 2 tahun pengalaman dalam bidang yang sesuai untuk posisi ini.</li>
	<li>Kemampuan yang harus dimiliki: Berpengalaman menggunakan dan campaign di online marketing/social media, Kreatif dan inovatif, mampu membaca tren pasar, mengembangkan ide produk yang paling hits di pasar, Menyukai tantangan, target oriented, bisa bekerja dibawah tekanan, mampu bekerja dengan baik secara individu maupun team</li>
	<li>Lebih disukai Supervisor/Koordinator khusus dalam Makanan/Minuman/Pelayanan Restoran atau setara.</li>
</ul> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/crew-restaurant-kitchen-counter-lampung-2860579?fr=J&searchRequestToken=1d73513e-4c84-4693-ae92-0bf8ece25a1e&sectionRank=16,null,Crew Restaurant (Kitchen Counter) Lampung,null,"
		 	Less than 1 year experience		",,,"<div class=""unselectable wrap-text"" id=""job_description""> <div>
<div>Kualifikasi :</div>

<ul>
	<li>Usia Max 25 tahun</li>
	<li>Min SMA/SMK/Sederajat bukan Paket C</li>
	<li>Min TB (L) 165 cm, (W) 158 cm</li>
	<li>Penampilan bersih, menarik dan tidak bertato</li>
	<li>Bersedia bekerja shift termasuk hari libur</li>
	<li>bersedia mengikuti training diluar kota (ditanggung perusahaan)</li>
</ul>

<div>Fasilitas : Gaji pokok diatas UMK, Insentif, BPJS ketenagakerjaan, BPJS kesehatan, Jaminan pensiun, jenjang Karier</div>
</div> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/staff-hrd-operasional-2860580?fr=J&searchRequestToken=1d73513e-4c84-4693-ae92-0bf8ece25a1e&sectionRank=15,null,Staff HRD & Operasional,null,"
			Min 2 years (Staff (non-management & non-supervisor)) 
		","
			Indonesia - Jakarta Raya - Jakarta Selatan - Lebak Bulus		",,"<div class=""unselectable wrap-text"" id=""job_description""> <ul>
	<li>Kandidat harus memiliki setidaknya Diploma di bidang apapun;</li>
	<li>Bahasa yang harus dimiliki: English, Bahasa Indonesia;</li>
	<li>Setidaknya memiliki 2 tahun pengalaman dalam bidang yang sesuai untuk posisi ini;</li>
	<li>Kemampuan yang harus dimiliki: Microsoft Office, Payroll, BPJS, General Affairs;</li>
	<li>Lebih disukai yang menguasai skoring alat psikotest seperti DISC, Personality Test.</li>
</ul> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/sales-hotel-2860581?fr=J&searchRequestToken=1d73513e-4c84-4693-ae92-0bf8ece25a1e&sectionRank=14,null,Sales Hotel,null,"
			Min 1 year (Staff (non-management & non-supervisor)) 
		","
			Indonesia - Jakarta Raya - Jakarta Pusat - Mangga Besar Raya		",,"<div class=""unselectable wrap-text"" id=""job_description""> <div>
<div>
<div>PT. Win Hotel Indonesia yang bernaung di bawah PT. Bintang Modern membuka kesempatan untuk berkembang bersama kami sebagai Sales Staff.</div>
</div>

<div>Tanggung Jawab Pekerjaan :</div>

<div>
<div>Tanggung Jawab Pekerjaan :<br>
– Follow Up Tour Travel &amp; organizer<br>
– Follow UP Wedding<br>
– Admin</div>
</div>

<div>Syarat Pengalaman :</div>

<div>Pengalaman minimal 1 tahun dibidang yang sama</div>

<div>Keahlian :</div>

<div>
<div>– Memiliki kemampuan komunikasi yang baik (lisan atau tulisan),<br>
– Pekerjakeras dan memiliki semangat untuk mengejar target penjualan,<br>
– Cepat dan mau belajar,<br>
– Teliti dan disiplin,<br>
– Dapat bekerja dibawah tekanan.</div>
</div>

<div>Kualifikasi :</div>

<div>
<div>– Usia 20 – 30 tahun,<br>
– Memiliki pengalaman pada bidang yang sama minimal 1 tahun,<br>
– Dapat mengoperasikan komputer,<br>
– Memiliki kemampuan komunikasi yang baik (lisan/tulisan),<br>
– Daerah penempatan : Bekasi Timur Dan Jakarta Pusat.</div>
</div>

<div>Waktu Bekerja :</div>

<div>Senin – Jumat, Jam : 08.00 s/d 17.00 (Tentative)</div>
</div> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/healthcare-business-executive-hcbx-2860582?fr=J&searchRequestToken=1d73513e-4c84-4693-ae92-0bf8ece25a1e&sectionRank=13,null,HEALTHCARE BUSINESS EXECUTIVE (HCBX),null,"
			Min 2 years (Supervisor/Coordinator) 
		",,,"<div class=""unselectable wrap-text"" id=""job_description""> <ul>
	<li>Melakukan penawaran produk Alat Kesehatan ke RS dan Outlet</li>
	<li>Melakukan Market Survey</li>
	<li>Melakukan analisa data Sales</li>
	<li>Melakukan pengontrolan ketersediaan stock barang</li>
	<li>Membuat laporan penjualan</li>
	<li>Berkoordinassi dengan prinsipal dan kantor pusat</li>
</ul>

<div> </div>

<div>KUALIFIKASI JABATAN :</div>

<ul>
	<li>Pendidikan Min. D3 segala jurusan</li>
	<li>Memiliki pengalaman kerja sebagai Sales Alat Kesehatan / Medical Representative min. 2 tahun</li>
	<li>Memiliki kemampuan Sales/Marketing, analisa data, market survey</li>
</ul>

<div>PENEMPATAN KANTOR CABANG : MANADO DAN BANJARMASIN</div> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/training-manager-2860583?fr=J&searchRequestToken=1d73513e-4c84-4693-ae92-0bf8ece25a1e&sectionRank=12,null,TRAINING MANAGER,null,"
			Min 10 years (Manager/Assistant Manager) 
		","
			Indonesia - Jakarta Raya - Jakarta Utara - KEMAYORAN		",,"<div class=""unselectable wrap-text"" id=""job_description""> <div>
<div>Responsibilities</div>

<div>➢ Proactively develop sales oriented training module adaptable to Asia Pacific countries. </div>

<div>➢ Assist in the communicating with headquarter and the countries in Asia Pacific region to implement the guidance from HQ and provide the feedback from the frontline market.</div>

<div>➢ Create the marketing tools to support the training department. </div>

<div>➢ Organize the convention and incentive trip in Asian Pacific countries. </div>

<div>➢ Regularly upgrade the SOP to optimize the daily operation. </div>

<div> </div>

<div>      Qualification:   </div>

<div>➢ Bachelor’s degree required, MBA or equivalent experience preferred.</div>

<div>➢ Minimal 5 years of regional management experience in education aspects in Asia Pacific Region.</div>

<div>➢ Ability to develop the training module and carry out training. </div>

<div>➢ Excellent communication skills in both spoken and written English</div>

<div>➢ Ability to handle stress and to work under time pressure</div>

<div>➢ Communicative and team oriented with strong interpersonal skills</div>
</div> </div>"
