site,url,date_time,domain_of_jobs,job_title,position,experience,location,salary,qualification_level
karir.com,/opportunities/1223575,2019-03-31 22:26:33,Fotografer,Cameraman,"Pemula / Staf, Staf Senior",Setidaknya 0 tahun,DKI-Jakarta,Gaji Kompetitif,"Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1223503,2019-03-31 22:26:38,Penjualan dan Pemasaran,Key Account Manager,"Manajer - Departemen, Manajer - Cabang/Regional, Manajer Senior",Setidaknya 5 tahun,DKI-Jakarta,Gaji Kompetitif,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1223504,2019-03-31 22:26:40,Penjualan dan Pemasaran,Key Account Sales Manager,"Manajer - Departemen, Manajer - Cabang/Regional, Manajer Senior",Setidaknya 5 tahun,DKI-Jakarta,Gaji Kompetitif,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1223505,2019-03-31 22:26:45,Apoteker / Farmasi,APOTEKER,"Pemula / Staf, Staf Senior",Setidaknya 0 tahun,DKI-Jakarta,Gaji Kompetitif,"Diploma, Sarjana/S1 Farmasi"
karir.com,/opportunities/1223506,2019-03-31 22:26:47,Administrasi,Admin Operational,"Pemula / Staf, Staf Senior",Setidaknya 0 tahun,DKI-Jakarta,Gaji Kompetitif,"Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1223509,2019-03-31 22:26:51,Penjualan dan Pemasaran,HEALTH ADVISOR,"Pemula / Staf, Staf Senior",Setidaknya 0 tahun,DKI-Jakarta,Gaji Kompetitif,"Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1223511,2019-03-31 22:26:54,Tidak disebutkan,Packer,"Pemula / Staf, Staf Senior",Setidaknya 0 tahun,DKI-Jakarta,Gaji Kompetitif,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1223512,2019-03-31 22:26:57,Penjualan dan Pemasaran,BEAUTY ADVISOR,"Pemula / Staf, Staf Senior",Setidaknya 0 tahun,DKI-Jakarta,Gaji Kompetitif,"Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1223513,2019-03-31 22:27:00,Manajemen Operasional,STORE MANAGER,"Manajer - Departemen, Manajer - Cabang/Regional",Setidaknya 0 tahun,DKI-Jakarta,Gaji Kompetitif,Sarjana/S1 Semuanya
karir.com,/opportunities/1223514,2019-03-31 22:27:05,Manajemen Operasional,Regional Manager,"Manajer - Departemen, Manajer - Cabang/Regional, Manajer Senior",Setidaknya 4 tahun,DKI-Jakarta,Gaji Kompetitif,Sarjana/S1 Semuanya
karir.com,/opportunities/1223564,2019-03-31 22:27:08,Kurir,Kurir Outlet,Setidaknya 0 tahun,Setidaknya 0 tahun,DKI-Jakarta,Gaji Kompetitif,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1223565,2019-03-31 22:27:12,Hukum / Korporasi,Legal Officer,Pemula / Staf,Setidaknya 0 tahun,DKI-Jakarta,Gaji Kompetitif,Sarjana/S1 Hukum
karir.com,/opportunities/1223567,2019-03-31 22:27:14,Administrasi and others,ADMIN LOGISTIK,"Pemula / Staf, Staf Senior",Setidaknya 0 tahun,DKI-Jakarta,Gaji Kompetitif,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1223568,2019-03-31 22:27:19,Pembelian / Purchasing,WAREHOUSE OFFICER,"Pemula / Staf, Staf Senior",Setidaknya 0 tahun,DKI-Jakarta,Gaji Kompetitif,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1223570,2019-03-31 22:27:23,Apoteker / Farmasi,Staff Farmasi,Pemula / Staf,Setidaknya 0 tahun,DKI-Jakarta,Gaji Kompetitif,"SLTA, Diploma, Sarjana/S1 Farmasi"
site,url,date_time,domain_of_jobs,job_title,position,experience,location,salary,qualification_level
karir.com,/opportunities/1223502,2019-03-31 23:00:08,Penjualan dan Pemasaran,SALES REPRESENTATIVE,,Setidaknya 0 tahun,DKI-Jakarta,Gaji Kompetitif,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1223487,2019-03-31 23:00:18,Quality Control (QC),QUALITY CONTROL STAFF,,Setidaknya 0 tahun,DKI-Jakarta,Gaji Kompetitif,Sarjana/S1 Farmasi
karir.com,/opportunities/1223489,2019-03-31 23:00:23,Pemrosesan Data,RESEARCH & DEVELOPMENT STAFF,,Setidaknya 0 tahun,DKI-Jakarta,Gaji Kompetitif,Sarjana/S1 Farmasi
karir.com,/opportunities/1223490,2019-03-31 23:00:27,Pemrosesan Data,Research & Development Supervisor,,Setidaknya 2 tahun,DKI-Jakarta,Gaji Kompetitif,Sarjana/S1 Farmasi
karir.com,/opportunities/1223491,2019-03-31 23:00:29,Satuan Pengamanan,SATPAM,,Setidaknya 0 tahun,DKI-Jakarta,Gaji Kompetitif,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1223492,2019-03-31 23:00:33,Teknisi,TEKNISI,,Setidaknya 0 tahun,DKI-Jakarta,Gaji Kompetitif,"SLTA, Diploma, Sarjana/S1 Semuanya"
