site,url,domain_of_jobs,jobs,position,experience,location,salary,qualification
jobstreet.co.id,https://www.jobstreet.co.id/en/job/marketing-staff-2860551?fr=J&searchRequestToken=b638eba5-46e8-4e3a-9caa-783f785d42a6&sectionRank=1,null,Marketing Staff,null,"
			Min 1 year (Staff (non-management & non-supervisor)) 
		","
			Indonesia - Jakarta Raya - Jakarta Barat - Grogol Petamburan		",,"<div class=""unselectable wrap-text"" id=""job_description""> <ul>
	<li>Candidate must possess at least Diploma in Marketing or equivalent.</li>
	<li>At least 1 Year(s) of working experience in the related field is required for this position.</li>
	<li>Required Skill(s): communication</li>
	<li>Preferably Staff (non-management &amp; non-supervisor) specialized in Marketing/Business Development or equivalent.</li>
</ul> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/vendor-management-2860537?fr=J&searchRequestToken=b638eba5-46e8-4e3a-9caa-783f785d42a6&sectionRank=18,null,Vendor Management,null,"
			Min 3 years (Supervisor/Coordinator) 
		","
			Indonesia - Jawa Barat - Bandung		",,"<div class=""unselectable wrap-text"" id=""job_description""> <div>Shafira Corporation is fashion retail industry in Indonesia. Our brand is Shafira, Zoya, Mezora, Zoya Cosmetics, and Morning Bread.</div>

<div> </div>

<div><strong>Responsibility:</strong></div>

<ul>
	<li>Manage external vendor relations within Operations Department.</li>
	<li>Perform as functional bridge among external vendors and internal stakeholders.</li>
	<li>Coordinate all vendor management tasks inclusive of working with external vendors and internal employees.</li>
	<li>Perform internal screening process to evaluate if vendors will meet contract and service expectations.</li>
</ul>

<div><strong>Requirements:</strong></div>

<ul>
	<li>Candidate must possess at least Bachelor's Degree in any field.</li>
	<li>At least 3 Year(s) of working experience in the related field is required for this position.</li>
	<li>Preferably Supervisor/Coordinator specialized in Merchandising or equivalent.</li>
	<li>Ability to understand, remediate and resolve vendor compliance issues.</li>
	<li>Ability to negotiate across the organization and with external vendors in a collaborative manner.</li>
	<li>Excellent communication skill.</li>
	<li>Organize and excellent time management.</li>
	<li>Proficient in computer.</li>
</ul> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/project-control-staff-2860538?fr=J&searchRequestToken=b638eba5-46e8-4e3a-9caa-783f785d42a6&sectionRank=17,null,Project Control Staff,null,"
			Min 1 year (Staff (non-management & non-supervisor)) 
		","
			Indonesia - Jakarta Raya - Jakarta Barat		",,"<div class=""unselectable wrap-text"" id=""job_description""> <div><strong>Jobdesc:</strong></div>

<ul>
	<li>Memonitoring aktivitas proyek</li>
	<li>Memantau Anggaran biaya dan jadwal pengerjaan proyek</li>
	<li>Membuat laporan per proyek</li>
	<li>Koordinasi dengan bagian pembelian barang dan pengadaan barang-barang proyek</li>
	<li>Menentukan kebutuhan Manpower</li>
</ul>

<div><strong>Requirements :</strong></div>

<div style=""text-align:justify"">
<ul>
	<li>Usia 22 - 35 tahun</li>
	<li>Pendidikan minimal S1 Teknik Sipil, Industri,dan Arsitek IPK 2.75 skala 4.00 dari universitas terkemuka</li>
	<li>Pekerja keras,dapat bekerja dibawah tekanan, jujur, disiplin, teliti bertanggung jawab, mampu aktif dan bermotivasi tinggi.</li>
	<li>Ramah, komunikatif, fleksibel, mampu bekerja di bawah tekanan, aktif, pekerja keras dan bermotivasi tinggi</li>
	<li>Dapat bekerja individual maupun dengan team</li>
	<li>Mampu bekerja dengan target</li>
	<li>Pengalaman minimal 1 tahun dibidangnya, fresh graduate is welcome</li>
</ul>
</div> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/supervisor-produksi-2860539?fr=J&searchRequestToken=b638eba5-46e8-4e3a-9caa-783f785d42a6&sectionRank=16,null,Supervisor Produksi,null,"
			Min 5 years (Supervisor/Coordinator) 
		","
			Indonesia - Jawa Barat - Cikarang - Kws. Industri MM2100		",,"<div class=""unselectable wrap-text"" id=""job_description""> <ul>
	<li>Candidate must possess at least Bachelors Degree in Engineering (Industrial), Forestry, or equivalent.</li>
	<li>At least 5 Year(s) of working experience in the related field is required for this position.</li>
	<li><strong>Preferably Supervisor/Coordinator specialized in Production/Operation</strong></li>
	<li>Good Leadership &amp; Communication.</li>
	<li>Max. 40 tahun</li>
	<li>Terbiasa dengan tantangan dan tekanan</li>
	<li><strong>Pengalaman di bidang kayu menjadi nilai tambahan</strong></li>
	<li><strong>Bersedia di tempatkan di Cibitung, Bekasi.</strong></li>
</ul> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/staff-csb-corporate-strategic-business-2860541?fr=J&searchRequestToken=b638eba5-46e8-4e3a-9caa-783f785d42a6&sectionRank=15,null,Staff CSB ( Corporate Strategic Business ),null,"
			Min 1 year (Staff (non-management & non-supervisor)) 
		","
			Indonesia - Jakarta Raya - Jakarta Timur - Ciracas		",,"<div class=""unselectable wrap-text"" id=""job_description""> <ul>
	<li>Mendukung aktivitas administrasi divisi</li>
	<li>Menyiapkan laporan-laporan yang dibutuhkan</li>
	<li>Membuat administrasi penggunaan budget dan monitoring budget yang digunakan</li>
	<li>Melakukan pengumpulan data dan informasi</li>
	<li>Terlibat dalam pengumpulan data survey</li>
</ul>

<div>Kualifikasi</div>

<ul>
	<li>Kandidat berasal dari berbagai jurusan, kandidat dari jurusan  Bisnis/Administrasi/Manajemen atau setara lebih disukai.</li>
	<li>Setidaknya memiliki 1 tahun pengalaman dalam bidang yang sesuai untuk posisi ini.</li>
	<li>Memiliki kemampuan analisa baik</li>
	<li>Menguasai Ms. Office ( Word, Excel, Power Point)</li>
	<li>Bersedia Penempatan di Ciracas, Jakarta Timur</li>
</ul> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/machinery-sales-deputy-manager-automotive-trading-company-2860552?fr=J&searchRequestToken=b638eba5-46e8-4e3a-9caa-783f785d42a6&sectionRank=14,null,Machinery Sales Deputy Manager - Automotive Trading Company,null,"
			Min 5 years (Manager/Assistant Manager) 
		","
			Indonesia - Jakarta Raya		",,"<div class=""unselectable wrap-text"" id=""job_description""> <div><div style=""text-align: justify;"">The Machinery Deputy Manager will be reporting to the Machinery Sales Manager. The candidate should have experience in catering to the automotive manufacturing industry with a closing mentality.</div><div style=""text-align: justify;""> </div><div style=""text-align: justify;""><strong>Client Details</strong></div><div style=""text-align: justify;""> </div><div style=""text-align: justify;"">Our client is a Japanese Trading Company with provisions of a variety of services, including raw materials equipment and parts supply, steel processing, manufacturing of dies &amp; molds, aluminum alloys, metal, sales of completed products and recycling.</div><div style=""text-align: justify;""> </div><div style=""text-align: justify;""><strong>Description</strong></div><div style=""text-align: justify;""> </div><div style=""text-align: justify;"">Responsibilities:</div><ul><li style=""text-align: justify;"">- Sales activity handling</li><li style=""text-align: justify;"">- Shall visit and make close communication with potential customers</li><li style=""text-align: justify;"">- Shall get the inquiries from customers</li><li style=""text-align: justify;"">- Shall make a report for the sales</li></ul><div style=""text-align: justify;""><strong>Profile</strong></div><div style=""text-align: justify;""> </div><div style=""text-align: justify;"">The Machinery Deputy Manager should have experience in</div><ul><li style=""text-align: justify;"">procurement and supply of production equipment (pressing, welding, painting, assembly, completion inspections, machining, polishing and molding)</li><li style=""text-align: justify;"">manufacture and sales of dies and mold (press molds, PO molds, metal mold casts and die casts)</li><li style=""text-align: justify;"">equipment installation and after sales services.</li><li style=""text-align: justify;"">Will be located in Cikarang area</li><li style=""text-align: justify;"">Computer skills: Ms. Office (Word, Excel, PPT, etc)</li><li style=""text-align: justify;"">English proficiency is a must, Japanese language is a plus</li><li style=""text-align: justify;"">Sociable personality and proactive mind</li></ul><div style=""text-align: justify;""><strong>Job Offer</strong></div><ul><li style=""text-align: justify;"">Great Remuneration Package</li><li style=""text-align: justify;"">Career enhancement</li><li style=""text-align: justify;"">Multinational Company Exposure</li></ul><div style=""text-align: justify;"">To apply online please click the 'Apply' button below. For a confidential discussion about this role please contact Andrew Huang on +62 21 2958 8820.</div></div><div> </div> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/community-partnership-executive-klikdoktercom-pt-medika-komunika-teknologi-2860542?fr=J&searchRequestToken=b638eba5-46e8-4e3a-9caa-783f785d42a6&sectionRank=13,null,Community & Partnership Executive (Klikdokter.com)- PT Medika Komunika Teknologi,null,"
			Min 1 year (Staff (non-management & non-supervisor)) 
		","
			Indonesia - Jakarta Raya - Jakarta Selatan - Wisma MRA		",,"<div class=""unselectable wrap-text"" id=""job_description""> <div>
<div><strong>Responsibilities:</strong></div>

<ul>
	<li>    Research event/community/association relate to business</li>
	<li>    Build long term partnership opportunities with media, health communities &amp; government</li>
	<li>    Responsible for promotion strategy and advertising plan      </li>
	<li>    Ensure all the events managed are running well    </li>
</ul>

<div>   <br>
<strong>Requirements:</strong></div>

<ul>
	<li>    Maximum 28 years old</li>
	<li>    Bachelor Degree in Economics, Mass Communications, Marketing or equivalent with minimum GPA 3,00</li>
	<li>    Have experience minimum 1 year as Community &amp; Partnership Staff/relevant experience</li>
	<li>    Have skill in presentation and negotiation</li>
	<li>    Energetic, talkactive, open minded easy to adapt with new people, and independent</li>
</ul>
</div> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/staff-general-affair-2860544?fr=J&searchRequestToken=b638eba5-46e8-4e3a-9caa-783f785d42a6&sectionRank=12,null,Staff General Affair,null,"
			Min 1 year (Staff (non-management & non-supervisor)) 
		","
			Indonesia - Jawa Barat - Bekasi - Bekasi		",,"<div class=""unselectable wrap-text"" id=""job_description""> <div><strong>Requirements :</strong></div>

<ul>
	<li><strong>L</strong> / Usia maksimal 28 tahun</li>
	<li>Pendidikan S1 segala jurusan</li>
	<li>Minimal pengalaman di General Affair 1 tahun</li>
	<li>Lulusan baru dipersilahkan melamar</li>
	<li>Mampu berkomunikasi dengan baik</li>
	<li>Mampu bekerja dibawah tekanan &amp; memiliki loyalitas</li>
	<li><strong>Diutamakan domisili Bekasi</strong></li>
	<li><strong>Bersedia ditempatkan di Bekasi &amp; Cikarang</strong></li>
	<li>Bersedia melakukan perjalanan dinas</li>
</ul> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/art-teacher-tanjung-duren-puri-indah-2860545?fr=J&searchRequestToken=b638eba5-46e8-4e3a-9caa-783f785d42a6&sectionRank=11,null,ART TEACHER (Tanjung Duren & Puri Indah),null,"
		 	Less than 1 year experience		","
			Indonesia - Jakarta Raya - Jakarta Barat		",,"<div class=""unselectable wrap-text"" id=""job_description""> <div>
<div><strong>Responsibilities: </strong></div>

<div> </div>

<ul>
	<li>Teaching children age 3-15 years old how to draw the KidzArt way</li>
	<li>Monitoring your students’ progress</li>
	<li>Exploring your imagination and expressing your creative ideas</li>
</ul>

<div> </div>

<div><strong>Requirements:</strong></div>

<div> </div>

<ul>
	<li>Minimum Diploma Degree</li>
	<li>Fresh Graduated are welcome to apply</li>
	<li>Have a good communication skill</li>
	<li>Love to work with children</li>
	<li>Creative, communicative, self motivated and able to work in a team</li>
	<li>Able to speak in English</li>
	<li>Honest, loyal, discipline and trustworthy</li>
	<li>Have good drawing skill (preferable)</li>
	<li>Willing to work in Tanjung Duren &amp; Puri Indah ( West Jakarta )</li>
</ul>

<div> </div>

<div><strong>Please send your  :</strong></div>

<div> </div>

<ul>
	<li>Application letter</li>
	<li>Updated CV</li>
	<li>ID Photocopy</li>
	<li>2 free Drawing ( scan or original )</li>
</ul>
</div> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/head-of-marketplace-2860546?fr=J&searchRequestToken=b638eba5-46e8-4e3a-9caa-783f785d42a6&sectionRank=10,null,Head of Marketplace,null,"
			Min 2 years (Supervisor/Coordinator) 
		","
			Indonesia - Jakarta Raya - Jakarta		",,"<div class=""unselectable wrap-text"" id=""job_description""> <div>   <strong>Responsibilities:</strong>  </div>

<div> - Explore potential marketplace and B2B e-Commerce</div>

<div>- Making strategy and plan to grow marketplace and B2B e-Commerce</div>

<div>- Keep good relationship and negosiate with marketplace and B2B e-Commerce</div>

<div>- Make promotion plan</div>

<div> </div>

<div><strong>Requirements:</strong></div>

<div>- Bachelor degrees from reputable university (Min GPA: 2,75)</div>

<div>- Max.35 years old</div>

<div>- 1-2 years experience handle e-Commerce/ marketplace</div>

<div>- Skills: MS Word, Pivot, Negosiation, Analytical, Presentation</div>

<div> </div>

<ul>
</ul> </div>"
